Transaction Name,Organization Location,Organization Industries,Organization Name,Funding Type,Money Raised,Announced Date,Number of Investors,Lead Investors,Funding Stage
Series A - Beacon Dynamics,"Mountain View, California, United States",Generative AI,Beacon Dynamics,Series A,"$20,700,000","May 22, 2026",3,"Stonebridge Group, North Group",Early Stage Venture
Series A - Mara Flow,"Cambridge, Massachusetts, United States","Agentic AI, Generative AI",Mara Flow,Series A,"$71,800,000","Dec 12, 2025",5,Pinnacle Capital Partners,Early Stage Venture
Seed - Mara Scale,"Boston, Massachusetts, United States",SaaS,Mara Scale,Seed,"$2,900,000","Jan 10, 2026",4,Catalyst Capital,Seed
Series B - Vergereify Scale,"Cambridge, Massachusetts, United States","SaaS, AI Infrastructure",Vergereify Scale,Series B,"$88,700,000","Jan 23, 2026",3,Aurora Growth,Early Stage Venture
Seed - Cascade Core,"San Francisco, California, United States","Agentic AI, SaaS",Cascade Core,Seed,"$5,700,000","Jun 16, 2025",2,Brightwater Fund,Seed
Series A - Forge,"New York, New York, United States",Foundational AI,Forge,Series A,"$32,500,000","Jul 29, 2025",3,"Highland Fund, Granite Capital",Early Stage Venture
Seed - Lumen Flow,"San Francisco, California, United States",AI Infrastructure,Lumen Flow,Seed,"$7,500,000","May 23, 2026",3,"Westbrook Capital Partners, Aurora Capital",Seed
Series B - Aether Systems,"San Jose, California, United States","Generative AI, AI Infrastructure",Aether Systems,Series B,"$158,300,000","Jan 9, 2026",3,"Pinnacle Fund, Vista Capital",Early Stage Venture
Series A - Yara Works,"Palo Alto, California, United States","SaaS, Agentic AI, AI Infrastructure",Yara Works,Series A,"$47,700,000","Jan 24, 2026",5,Vertex Growth,Early Stage Venture
Series C - Sable Cloud,"Cambridge, Massachusetts, United States",Generative AI,Sable Cloud,Series C,"$295,900,000","Sep 6, 2025",3,Highland Ventures,Late Stage Venture
Series A - Iris Layer,"San Francisco, California, United States","AI Infrastructure, SaaS",Iris Layer,Series A,"$11,500,000","Mar 25, 2026",4,Stonebridge Ventures,Early Stage Venture
Seed - Sage Works,"Austin, Texas, United States","AI Infrastructure, Generative AI, SaaS",Sage Works,Seed,"$2,300,000","May 20, 2026",2,Cardinal Capital,Seed
Seed - Sift Intelligence,"New York, New York, United States","SaaS, Agentic AI",Sift Intelligence,Seed,"$1,600,000","Jun 24, 2025",1,Lighthouse Capital Partners,Seed
Series D - Synth,"New York, New York, United States","SaaS, Generative AI",Synth,Series D,"$302,400,000","Aug 17, 2025",4,"Anchor VC, Union Square VC",Late Stage Venture
Series D - Arc Dynamics,"New York, New York, United States",SaaS,Arc Dynamics,Series D,"$411,900,000","Jan 6, 2026",5,Ascent Growth,Late Stage Venture
Series A - Latent Works,"San Francisco, California, United States","SaaS, Generative AI",Latent Works,Series A,"$22,400,000","Oct 23, 2025",5,Anchor Ventures,Early Stage Venture
Series C - Tensorprism Core,"Seattle, Washington, United States","AI Infrastructure, SaaS",Tensorprism Core,Series C,"$87,300,000","Oct 26, 2025",6,Harbor Growth,Late Stage Venture
Seed - Rune Grid,"Cambridge, Massachusetts, United States",Generative AI,Rune Grid,Seed,"$3,600,000","May 12, 2026",1,"Apex Partners, Vista Capital",Seed
Series A - Brim Works,"Cambridge, Massachusetts, United States","Generative AI, AI Infrastructure",Brim Works,Series A,"$34,700,000","Nov 26, 2025",5,Frontier Fund,Early Stage Venture
Seed - JunO Stack,"New York, New York, United States",Agentic AI,JunO Stack,Seed,"$1,800,000","Dec 24, 2025",1,"Foundry Group, Ascent Partners",Seed
Series A - JunO Layer,"San Francisco, California, United States",Agentic AI,JunO Layer,Series A,"$34,200,000","May 24, 2026",5,Brightwater Partners,Early Stage Venture
Series A - Solace AI,"San Francisco, California, United States",Generative AI,Solace AI,Series A,"$19,000,000","Feb 11, 2026",4,Vista Capital,Early Stage Venture
Series A - Spark Flow,"Cambridge, Massachusetts, United States","Foundational AI, Agentic AI",Spark Flow,Series A,"$61,300,000","Dec 30, 2025",4,"Lakeside Ventures, Vista Capital",Early Stage Venture
Series B - Yara,"New York, New York, United States",Generative AI,Yara,Series B,"$26,800,000","Mar 10, 2026",6,Northstar Fund,Early Stage Venture
Series C - Tilde Labs,"New York, New York, United States","Generative AI, AI Infrastructure, SaaS",Tilde Labs,Series C,"$338,100,000","Apr 30, 2026",4,Anchor Partners,Late Stage Venture
Seed - Sift Sense,"San Francisco, California, United States","Agentic AI, Generative AI, SaaS",Sift Sense,Seed,"$4,700,000","Dec 21, 2025",1,"Apex Partners, Catalyst Partners",Seed
Series A - Irisaxi Scale,"Palo Alto, California, United States",SaaS,Irisaxi Scale,Series A,"$19,500,000","Jul 17, 2025",5,"Foundry Partners, Redwood Ventures",Early Stage Venture
Series A - Cortex Stack,"New York, New York, United States","SaaS, Generative AI",Cortex Stack,Series A,"$13,100,000","Sep 1, 2025",3,North Capital,Early Stage Venture
Series C - Spark Dynamics,"Palo Alto, California, United States","Generative AI, SaaS",Spark Dynamics,Series C,"$161,100,000","Nov 24, 2025",7,Northstar VC,Late Stage Venture
Series B - Hale.ai,"Boston, Massachusetts, United States","Agentic AI, SaaS",Hale.ai,Series B,"$61,400,000","May 18, 2026",2,"Vertex Growth, Northstar Capital",Early Stage Venture
Series B - Prism Intelligence,"Seattle, Washington, United States",SaaS,Prism Intelligence,Series B,"$78,300,000","Apr 18, 2026",2,"Ascent VC, Sterling VC",Early Stage Venture
Seed - Verge Systems,"San Jose, California, United States",AI Infrastructure,Verge Systems,Seed,"$4,100,000","Dec 5, 2025",3,"Cobalt Fund, Cardinal Capital",Seed
Series D - Forge Layer,"San Francisco, California, United States",SaaS,Forge Layer,Series D,"$434,300,000","Jan 19, 2026",5,"Apex Partners, Frontier Growth",Late Stage Venture
Series A - Helixtess Grid,"San Jose, California, United States","SaaS, Generative AI",Helixtess Grid,Series A,"$26,600,000","Jan 24, 2026",4,"Frontier Ventures, Sterling Capital Partners",Early Stage Venture
Seed - Forge.ai,"Boston, Massachusetts, United States",SaaS,Forge.ai,Seed,"$2,200,000","May 23, 2026",4,Apex Ventures,Seed
Series C - Cascade Labs,"San Francisco, California, United States","SaaS, Agentic AI",Cascade Labs,Series C,"$112,100,000","May 18, 2026",5,Ascent VC,Late Stage Venture
Seed - Driftlatent Layer,"Seattle, Washington, United States",Generative AI,Driftlatent Layer,Seed,"$3,600,000","Oct 3, 2025",2,"Meridian VC, Stonebridge Group",Seed
Series B - Helix Cloud,"San Diego, California, United States","AI Infrastructure, SaaS",Helix Cloud,Series B,"$85,000,000","Aug 6, 2025",6,Aurora Ventures,Early Stage Venture
Seed - Atlas,"San Francisco, California, United States","Generative AI, AI Infrastructure",Atlas,Seed,"$5,000,000","Dec 3, 2025",1,Union Square Capital,Seed
Series D - Nimbus Stack,"Vancouver, British Columbia, Canada",SaaS,Nimbus Stack,Series D,"$107,400,000","May 18, 2026",3,Beacon Ventures,Late Stage Venture
Seed - Axi Technologies,"Seattle, Washington, United States",AI Infrastructure,Axi Technologies,Seed,"$4,800,000","Feb 27, 2026",3,Westbrook VC,Seed
Series A - Solace Intelligence,"Toronto, Ontario, Canada","Generative AI, SaaS",Solace Intelligence,Series A,"$12,400,000","Jul 19, 2025",4,Frontier Fund,Early Stage Venture
Seed - Orbit Systems,"Los Angeles, California, United States","AI Infrastructure, Agentic AI, Generative AI",Orbit Systems,Seed,"$3,900,000","Mar 15, 2026",3,"Highland Ventures, Pinnacle Capital Partners",Seed
Series C - Beacon Stack,"Boston, Massachusetts, United States","Agentic AI, SaaS, Generative AI",Beacon Stack,Series C,"$59,900,000","Jul 26, 2025",5,"Brightwater Capital Partners, Frontier Ventures",Late Stage Venture
Series B - Codaember Scale,"San Francisco, California, United States","SaaS, AI Infrastructure",Codaember Scale,Series B,"$30,500,000","Nov 27, 2025",2,Redwood Growth,Early Stage Venture
Series A - Fableopal AI,"San Francisco, California, United States",Generative AI,Fableopal AI,Series A,"$17,700,000","Nov 14, 2025",2,"Apex Ventures, Summit Capital Partners",Early Stage Venture
Series B - Brim Core,"New York, New York, United States",Generative AI,Brim Core,Series B,"$23,000,000","Jan 7, 2026",2,Apex Partners,Early Stage Venture
Series A - Zealquill Labs,"Montreal, Quebec, Canada","Agentic AI, Generative AI",Zealquill Labs,Series A,"$57,700,000","Aug 1, 2025",2,Harbor Partners,Early Stage Venture
Seed - Larq Scale,"Denver, Colorado, United States",SaaS,Larq Scale,Seed,"$3,000,000","Dec 31, 2025",3,Brightwater Fund,Seed
Series D - Delveglide Logic,"Palo Alto, California, United States",SaaS,Delveglide Logic,Series D,"$283,800,000","Nov 6, 2025",8,Northstar Ventures,Late Stage Venture
Series B - Opal Sense,"Los Angeles, California, United States",AI Infrastructure,Opal Sense,Series B,"$88,100,000","Oct 10, 2025",3,Apex Ventures,Early Stage Venture
Series B - Wren Layer,"Washington, District of Columbia, United States","Generative AI, SaaS",Wren Layer,Series B,"$40,400,000","Apr 20, 2026",4,"Crescent Fund, Ascent Growth",Early Stage Venture
Seed - Vant Labs,"Mountain View, California, United States",Foundational AI,Vant Labs,Seed,"$3,000,000","Mar 25, 2026",1,Pinnacle Partners,Seed
Series A - Halo Labs,"Denver, Colorado, United States",Foundational AI,Halo Labs,Series A,"$58,200,000","Jan 11, 2026",3,Northstar Capital,Early Stage Venture
Series A - Dynesift Cloud,"Boston, Massachusetts, United States","AI Infrastructure, Generative AI",Dynesift Cloud,Series A,"$23,400,000","Apr 5, 2026",3,Granite Capital,Early Stage Venture
Series B - Lumen Cloud,"Seattle, Washington, United States","Agentic AI, SaaS, Foundational AI",Lumen Cloud,Series B,"$426,500,000","Feb 25, 2026",2,"Northstar VC, Northstar Growth",Early Stage Venture
Seed - Latent Cloud,"New York, New York, United States",Generative AI,Latent Cloud,Seed,"$2,400,000","Jul 22, 2025",1,"Pinnacle Ventures, Harbor Ventures",Seed
Series A - Coda Compute,"San Francisco, California, United States",Generative AI,Coda Compute,Series A,"$12,500,000","Apr 9, 2026",4,"Compass Ventures, Anchor Ventures",Early Stage Venture
Series A - Grove Intelligence,"Montreal, Quebec, Canada",SaaS,Grove Intelligence,Series A,"$35,800,000","Dec 13, 2025",5,"Summit Group, Westbrook VC",Early Stage Venture
Seed - Aether Scale,"Austin, Texas, United States",AI Infrastructure,Aether Scale,Seed,"$4,600,000","Aug 22, 2025",3,Northstar Growth,Seed
Seed - Prism Layer,"Toronto, Ontario, Canada",SaaS,Prism Layer,Seed,"$2,200,000","Dec 15, 2025",1,Catalyst Ventures,Seed
Seed - Anchorbeacon Technologies,"Toronto, Ontario, Canada",SaaS,Anchorbeacon Technologies,Seed,"$2,200,000","Jan 27, 2026",4,"Union Square VC, Brightwater Fund",Seed
Seed - Opalbeacon Core,"Palo Alto, California, United States","AI Infrastructure, SaaS",Opalbeacon Core,Seed,"$2,800,000","Apr 15, 2026",4,Vertex Growth,Seed
Series A - Atlas Technologies,"San Francisco, California, United States",Foundational AI,Atlas Technologies,Series A,"$33,900,000","May 9, 2026",2,Greylock Capital,Early Stage Venture
Seed - Grove Labs,"Waterloo, Ontario, Canada","Foundational AI, SaaS",Grove Labs,Seed,"$11,800,000","Apr 18, 2026",1,"Northstar Ventures, Sterling Capital Partners",Seed
Seed - Frame Grid,"Denver, Colorado, United States","SaaS, Generative AI",Frame Grid,Seed,"$7,800,000","Jun 22, 2025",3,"Northstar Growth, Brightwater VC",Seed
Series D - Cipher Stack,"San Diego, California, United States","Generative AI, SaaS",Cipher Stack,Series D,"$516,300,000","Dec 6, 2025",6,"Beacon Ventures, Foundry VC",Late Stage Venture
Seed - Aether Sense,"San Francisco, California, United States",AI Infrastructure,Aether Sense,Seed,"$4,000,000","Sep 1, 2025",3,Union Square VC,Seed
Seed - Vox Compute,"San Jose, California, United States",Agentic AI,Vox Compute,Seed,"$3,700,000","May 14, 2026",2,"Redwood Growth, Westbrook VC",Seed
Series B - Atlas Logic,"Montreal, Quebec, Canada",Generative AI,Atlas Logic,Series B,"$51,000,000","Jul 10, 2025",6,Greylock Capital,Early Stage Venture
Series A - Strata Grid,"Toronto, Ontario, Canada","Generative AI, Agentic AI",Strata Grid,Series A,"$25,300,000","May 22, 2026",5,Sterling Capital Partners,Early Stage Venture
Series C - Flux Cloud,"Austin, Texas, United States","SaaS, Agentic AI",Flux Cloud,Series C,"$128,200,000","Aug 20, 2025",4,"Northstar Growth, Union Square Capital",Late Stage Venture
Seed - JunO AI,"Boston, Massachusetts, United States",Generative AI,JunO AI,Seed,"$500,000","Jul 15, 2025",1,Cardinal Capital,Seed
Series A - Mosaic Systems,"Seattle, Washington, United States","SaaS, Generative AI",Mosaic Systems,Series A,"$6,000,000","Apr 24, 2026",3,"Harbor Ventures, Harbor Partners",Early Stage Venture
Series A - Quillprism Compute,"San Jose, California, United States","SaaS, Agentic AI",Quillprism Compute,Series A,"$27,800,000","Mar 10, 2026",4,Anchor VC,Early Stage Venture
Series A - Yaracoda,"Austin, Texas, United States",AI Infrastructure,Yaracoda,Series A,"$50,700,000","Jun 15, 2025",2,Ascent VC,Early Stage Venture
Series B - Vail Core,"San Francisco, California, United States",Generative AI,Vail Core,Series B,"$123,400,000","Nov 2, 2025",5,Lakeside Capital,Early Stage Venture
Series A - Mara Grid,"San Jose, California, United States","AI Infrastructure, Generative AI",Mara Grid,Series A,"$21,200,000","Feb 19, 2026",2,Ascent Partners,Early Stage Venture
Seed - Hyper Stack,"Washington, District of Columbia, United States",Generative AI,Hyper Stack,Seed,"$2,300,000","Jan 26, 2026",4,"Vertex Growth, Brightwater Fund",Seed
Seed - Atlas Intelligence,"San Francisco, California, United States",Agentic AI,Atlas Intelligence,Seed,"$1,800,000","May 11, 2026",4,Keystone Ventures,Seed
Series C - Zenith Flow,"New York, New York, United States",SaaS,Zenith Flow,Series C,"$110,800,000","Jul 8, 2025",6,Harbor VC,Late Stage Venture
Seed - Reify Logic,"San Jose, California, United States","AI Infrastructure, Generative AI, SaaS",Reify Logic,Seed,"$2,500,000","Jun 24, 2025",1,Northstar Ventures,Seed
Series B - Echo Cloud,"Mountain View, California, United States","Generative AI, SaaS",Echo Cloud,Series B,"$42,300,000","Mar 31, 2026",4,Northstar Growth,Early Stage Venture
Series A - Aether Cloud,"Waterloo, Ontario, Canada","Generative AI, SaaS",Aether Cloud,Series A,"$29,200,000","May 19, 2026",2,Frontier Growth,Early Stage Venture
Series D - Hyper,"Boston, Massachusetts, United States","SaaS, Agentic AI",Hyper,Series D,"$706,800,000","May 15, 2026",4,Lighthouse Capital Partners,Late Stage Venture
Seed - Halo Core,"New York, New York, United States",Agentic AI,Halo Core,Seed,"$2,000,000","Feb 25, 2026",4,Aurora Ventures,Seed
Series A - Sable Grid,"Palo Alto, California, United States","AI Infrastructure, SaaS",Sable Grid,Series A,"$29,000,000","Oct 31, 2025",4,"Harbor Growth, Bay Capital",Early Stage Venture
Seed - Cascaderune Stack,"New York, New York, United States",SaaS,Cascaderune Stack,Seed,"$1,900,000","Nov 25, 2025",4,"Cardinal Capital, Stonebridge Capital",Seed
Seed - Echo.ai,"Cambridge, Massachusetts, United States","SaaS, Foundational AI",Echo.ai,Seed,"$3,700,000","Apr 23, 2026",2,Highland Ventures,Seed
Seed - Solace Compute,"Toronto, Ontario, Canada","AI Infrastructure, Generative AI",Solace Compute,Seed,"$8,900,000","Oct 26, 2025",3,Ascent Growth,Seed
Series C - Pace Labs,"San Francisco, California, United States",AI Infrastructure,Pace Labs,Series C,"$278,800,000","Dec 21, 2025",6,Meridian Partners,Late Stage Venture
Series C - Glide Cloud,"Waterloo, Ontario, Canada",AI Infrastructure,Glide Cloud,Series C,"$195,100,000","Feb 14, 2026",6,Frontier Ventures,Late Stage Venture
Seed - Synth Cloud,"Boston, Massachusetts, United States","AI Infrastructure, SaaS",Synth Cloud,Seed,"$6,000,000","Dec 25, 2025",4,Lighthouse Capital,Seed
Series A - Hale Cloud,"San Francisco, California, United States",SaaS,Hale Cloud,Series A,"$12,500,000","Nov 16, 2025",4,Pinnacle Partners,Early Stage Venture
Seed - Drift Layer,"New York, New York, United States","AI Infrastructure, Generative AI",Drift Layer,Seed,"$4,600,000","Nov 7, 2025",1,"Meridian Partners, Brightwater Capital Partners",Seed
Series A - Halo Layer,"Cambridge, Massachusetts, United States",Generative AI,Halo Layer,Series A,"$16,600,000","Mar 3, 2026",3,"Lakeside Capital, Westbrook Capital Partners",Early Stage Venture
Series C - Zenith Systems,"San Francisco, California, United States",Agentic AI,Zenith Systems,Series C,"$65,400,000","Feb 22, 2026",6,Meridian VC,Late Stage Venture
Series B - Cortexmara Layer,"New York, New York, United States","SaaS, Agentic AI",Cortexmara Layer,Series B,"$23,000,000","Jun 12, 2025",5,Aurora Group,Early Stage Venture
Series B - Axi Scale,"Toronto, Ontario, Canada","Generative AI, AI Infrastructure",Axi Scale,Series B,"$35,500,000","Apr 25, 2026",5,Aurora Growth,Early Stage Venture
Series A - Rune Technologies,"San Jose, California, United States","Agentic AI, Generative AI, SaaS",Rune Technologies,Series A,"$10,300,000","Sep 23, 2025",2,"Anchor VC, Ascent Partners",Early Stage Venture
Series B - Cobalt Layer,"Palo Alto, California, United States","AI Infrastructure, SaaS",Cobalt Layer,Series B,"$54,200,000","Jun 9, 2025",3,Redwood Ventures,Early Stage Venture
Series A - Hyper Dynamics,"New York, New York, United States",AI Infrastructure,Hyper Dynamics,Series A,"$19,600,000","Jun 29, 2025",3,Meridian Partners,Early Stage Venture
Seed - Pinnacle Dynamics,"San Francisco, California, United States","AI Infrastructure, Foundational AI, SaaS",Pinnacle Dynamics,Seed,"$9,500,000","Jul 2, 2025",2,"Northstar VC, Granite Capital Partners",Seed
Series A - Quill Flow,"Boston, Massachusetts, United States","SaaS, Foundational AI, AI Infrastructure",Quill Flow,Series A,"$34,100,000","Aug 13, 2025",5,"Granite Capital Partners, Highland Ventures",Early Stage Venture
Series D - Covecipher Logic,"San Francisco, California, United States","Generative AI, Foundational AI",Covecipher Logic,Series D,"$1,184,600,000","Mar 28, 2026",8,"Stonebridge Capital, Cardinal Capital",Late Stage Venture
Seed - Cipher.ai,"Los Angeles, California, United States","Agentic AI, SaaS, Generative AI",Cipher.ai,Seed,"$4,500,000","Nov 12, 2025",3,Catalyst Partners,Seed
Series A - JunOgrove Layer,"Los Angeles, California, United States",Agentic AI,JunOgrove Layer,Series A,"$14,500,000","Jun 24, 2025",3,"Brightwater Fund, Frontier Growth",Early Stage Venture
Series A - Tensor Cloud,"Boston, Massachusetts, United States","SaaS, Generative AI",Tensor Cloud,Series A,"$11,600,000","Nov 20, 2025",4,"Bay Capital, Ascent VC",Early Stage Venture
Series B - Echo Scale,"Toronto, Ontario, Canada","SaaS, Generative AI",Echo Scale,Series B,"$61,500,000","Jun 18, 2025",2,"Frontier Fund, Ascent Capital",Early Stage Venture
Series B - Helix Systems,"San Francisco, California, United States",SaaS,Helix Systems,Series B,"$42,900,000","May 8, 2026",6,"Compass Capital Partners, Bay Capital",Early Stage Venture
Seed - Cascade Scale,"San Francisco, California, United States","Agentic AI, Generative AI",Cascade Scale,Seed,"$8,200,000","Aug 31, 2025",1,"Stonebridge Ventures, Apex Ventures",Seed
Seed - Reify Systems,"New York, New York, United States","Generative AI, AI Infrastructure",Reify Systems,Seed,"$2,000,000","May 1, 2026",1,Aurora Growth,Seed
Series A - Orbit Grid,"Seattle, Washington, United States","AI Infrastructure, SaaS",Orbit Grid,Series A,"$45,100,000","May 21, 2026",5,Union Square Capital Partners,Early Stage Venture
Series B - Vant Compute,"Mountain View, California, United States",AI Infrastructure,Vant Compute,Series B,"$171,700,000","Jul 10, 2025",4,Pinnacle VC,Early Stage Venture
Series A - Parse Technologies,"Austin, Texas, United States","AI Infrastructure, Agentic AI",Parse Technologies,Series A,"$23,000,000","Jul 9, 2025",4,"North Capital, Westbrook Capital Partners",Early Stage Venture
Series A - Cove Grid,"Boston, Massachusetts, United States","Generative AI, Foundational AI",Cove Grid,Series A,"$40,500,000","Dec 12, 2025",2,"Meridian Partners, Westbrook Growth",Early Stage Venture
Series B - Fable Technologies,"Mountain View, California, United States",Generative AI,Fable Technologies,Series B,"$41,500,000","Aug 7, 2025",2,Compass Ventures,Early Stage Venture
Series A - Solace Systems,"San Diego, California, United States","Generative AI, Agentic AI",Solace Systems,Series A,"$13,700,000","Mar 14, 2026",3,North VC,Early Stage Venture
Series B - Embernova Grid,"New York, New York, United States",Generative AI,Embernova Grid,Series B,"$47,600,000","Oct 7, 2025",3,"Vertex Growth, Westbrook Capital Partners",Early Stage Venture
Series A - Reify Cloud,"New York, New York, United States","Generative AI, Agentic AI",Reify Cloud,Series A,"$36,500,000","Apr 30, 2026",3,Westbrook VC,Early Stage Venture
Series D - Fable Grid,"San Diego, California, United States",Agentic AI,Fable Grid,Series D,"$222,900,000","Dec 4, 2025",3,"Summit Group, Crescent Fund",Late Stage Venture
Series D - Lumin Layer,"San Francisco, California, United States",SaaS,Lumin Layer,Series D,"$557,500,000","Nov 3, 2025",4,Apex Ventures,Late Stage Venture
Series B - Hale,"New York, New York, United States","Generative AI, SaaS",Hale,Series B,"$67,000,000","Mar 2, 2026",6,"Union Square VC, Highland Fund",Early Stage Venture
Series B - Quant,"Seattle, Washington, United States","Agentic AI, SaaS",Quant,Series B,"$34,100,000","Jan 7, 2026",2,Frontier Growth,Early Stage Venture
Seed - Frame,"San Francisco, California, United States","AI Infrastructure, SaaS",Frame,Seed,"$6,300,000","Sep 14, 2025",4,Redwood Ventures,Seed
Series A - Forge AI,"Seattle, Washington, United States","Agentic AI, Generative AI",Forge AI,Series A,"$24,200,000","Oct 3, 2025",3,Northstar Ventures,Early Stage Venture
Series A - Fable Core,"Los Angeles, California, United States","Generative AI, AI Infrastructure, Agentic AI",Fable Core,Series A,"$52,100,000","Jun 3, 2025",3,Stonebridge Group,Early Stage Venture
Series A - Tensoriris Layer,"Boston, Massachusetts, United States","AI Infrastructure, Agentic AI",Tensoriris Layer,Series A,"$37,400,000","Mar 28, 2026",2,Highland Partners,Early Stage Venture
Series A - Bloomecho,"Mountain View, California, United States","SaaS, Generative AI",Bloomecho,Series A,"$15,000,000","Aug 12, 2025",5,Sterling Capital Partners,Early Stage Venture
Series A - Pace Compute,"New York, New York, United States",Foundational AI,Pace Compute,Series A,"$28,500,000","Jun 28, 2025",4,"Bay Capital, Sterling Capital Partners",Early Stage Venture
Seed - JunO Core,"New York, New York, United States",AI Infrastructure,JunO Core,Seed,"$8,400,000","Jun 16, 2025",2,Summit Ventures,Seed
Seed - Umbra Grid,"San Francisco, California, United States",SaaS,Umbra Grid,Seed,"$4,100,000","Jun 22, 2025",4,Northstar VC,Seed
Seed - Vant Layer,"Atlanta, Georgia, United States","SaaS, Generative AI",Vant Layer,Seed,"$1,200,000","Apr 9, 2026",4,Sterling Capital Partners,Seed
Series B - Pace Works,"San Francisco, California, United States","SaaS, Agentic AI",Pace Works,Series B,"$94,700,000","Feb 19, 2026",2,Highland Ventures,Early Stage Venture
Series C - Cobalt Technologies,"Chicago, Illinois, United States","SaaS, Generative AI, AI Infrastructure",Cobalt Technologies,Series C,"$385,700,000","Mar 23, 2026",5,"Aurora Growth, Compass Ventures",Late Stage Venture
Seed - Cascade Logic,"New York, New York, United States","SaaS, Generative AI",Cascade Logic,Seed,"$6,000,000","Jul 18, 2025",4,"Lighthouse Capital Partners, Pinnacle Capital Partners",Seed
Series C - Latent Grid,"Chicago, Illinois, United States","Agentic AI, SaaS",Latent Grid,Series C,"$83,500,000","Feb 4, 2026",5,"Ascent Capital, Sterling VC",Late Stage Venture
Seed - Vox Intelligence,"Toronto, Ontario, Canada","Agentic AI, Generative AI",Vox Intelligence,Seed,"$5,500,000","Oct 19, 2025",1,"Cobalt Fund, Union Square VC",Seed
Series A - Helix Core,"Austin, Texas, United States","Generative AI, AI Infrastructure, Foundational AI",Helix Core,Series A,"$29,900,000","Jun 5, 2025",2,"Aurora Capital, Northstar VC",Early Stage Venture
Series B - Glide.ai,"Washington, District of Columbia, United States","Generative AI, Agentic AI",Glide.ai,Series B,"$72,400,000","Aug 13, 2025",2,Keystone Ventures,Early Stage Venture
Series A - Latent Technologies,"Cambridge, Massachusetts, United States",Agentic AI,Latent Technologies,Series A,"$16,800,000","Aug 11, 2025",2,Foundry VC,Early Stage Venture
Seed - Cobalt Works,"Palo Alto, California, United States",SaaS,Cobalt Works,Seed,"$3,600,000","May 20, 2026",1,"Compass Capital Partners, Anchor VC",Seed
Seed - Forge Dynamics,"Cambridge, Massachusetts, United States","Generative AI, AI Infrastructure",Forge Dynamics,Seed,"$14,900,000","Nov 10, 2025",2,Cedar Capital Partners,Seed
